games_played,date,team,p_champion
2,2026-06-11,Jordan,0.0005
2,2026-06-11,Haiti,0.0005
2,2026-06-11,Iraq,0.0005
2,2026-06-11,Bosnia-Herzegovina,0.0
2,2026-06-11,Qatar,0.0
2,2026-06-11,Czechia,0.0
2,2026-06-11,Saudi Arabia,0.0
2,2026-06-11,New Zealand,0.0
2,2026-06-11,Sweden,0.0
2,2026-06-11,Ghana,0.0
4,2026-06-12,Spain,0.14425
4,2026-06-12,Portugal,0.12325
4,2026-06-12,France,0.09175
4,2026-06-12,Brazil,0.06225
4,2026-06-12,Argentina,0.05775
4,2026-06-12,Colombia,0.0435
4,2026-06-12,Mexico,0.038
4,2026-06-12,Ecuador,0.0345
4,2026-06-12,South Korea,0.03375
4,2026-06-12,Japan,0.03225
4,2026-06-12,England,0.0285
4,2026-06-12,Morocco,0.0285
4,2026-06-12,Belgium,0.02525
4,2026-06-12,Austria,0.02425
4,2026-06-12,Netherlands,0.023
4,2026-06-12,Algeria,0.022
4,2026-06-12,Croatia,0.02075
4,2026-06-12,Uruguay,0.01975
4,2026-06-12,Switzerland,0.0185
4,2026-06-12,Germany,0.0175
4,2026-06-12,Australia,0.01725
4,2026-06-12,Ivory Coast,0.01475
4,2026-06-12,Tunisia,0.01375
4,2026-06-12,Senegal,0.011
4,2026-06-12,United States,0.01
4,2026-06-12,Egypt,0.00875
4,2026-06-12,Türkiye,0.006
4,2026-06-12,Canada,0.00425
4,2026-06-12,Scotland,0.004
4,2026-06-12,Uzbekistan,0.004
4,2026-06-12,Norway,0.0035
4,2026-06-12,Paraguay,0.0025
4,2026-06-12,Curaçao,0.0025
4,2026-06-12,South Africa,0.00225
4,2026-06-12,Cape Verde,0.00125
4,2026-06-12,Iran,0.001
4,2026-06-12,Congo DR,0.001
4,2026-06-12,Jordan,0.0005
4,2026-06-12,Panama,0.0005
4,2026-06-12,Iraq,0.0005
4,2026-06-12,Sweden,0.00025
4,2026-06-12,Czechia,0.00025
4,2026-06-12,Bosnia-Herzegovina,0.00025
4,2026-06-12,Qatar,0.00025
4,2026-06-12,Ghana,0.00025
4,2026-06-12,New Zealand,0.00025
4,2026-06-12,Haiti,0.0
4,2026-06-12,Saudi Arabia,0.0
8,2026-06-13,Spain,0.13875
8,2026-06-13,Portugal,0.124
8,2026-06-13,France,0.09975
8,2026-06-13,Brazil,0.06
8,2026-06-13,Argentina,0.06
8,2026-06-13,Colombia,0.04475
8,2026-06-13,Australia,0.0395
8,2026-06-13,Mexico,0.0385
8,2026-06-13,Ecuador,0.037
8,2026-06-13,South Korea,0.03575
8,2026-06-13,Morocco,0.03125
8,2026-06-13,Japan,0.02775
8,2026-06-13,England,0.026
8,2026-06-13,Croatia,0.026
8,2026-06-13,Austria,0.02425
8,2026-06-13,Belgium,0.0225
8,2026-06-13,Algeria,0.0215
8,2026-06-13,Germany,0.0185
8,2026-06-13,Netherlands,0.017
8,2026-06-13,Ivory Coast,0.0155
8,2026-06-13,Uruguay,0.01375
8,2026-06-13,Switzerland,0.013
8,2026-06-13,Tunisia,0.0125
8,2026-06-13,Egypt,0.0085
8,2026-06-13,Senegal,0.008
8,2026-06-13,Scotland,0.008
8,2026-06-13,United States,0.00625
8,2026-06-13,Uzbekistan,0.00375
8,2026-06-13,Canada,0.00325
8,2026-06-13,Curaçao,0.00275
8,2026-06-13,Norway,0.0025
8,2026-06-13,Iran,0.0025
8,2026-06-13,Paraguay,0.0015
8,2026-06-13,Cape Verde,0.00125
8,2026-06-13,Türkiye,0.001
8,2026-06-13,Panama,0.00075
8,2026-06-13,South Africa,0.00075
8,2026-06-13,Jordan,0.0005
8,2026-06-13,Iraq,0.0005
8,2026-06-13,Bosnia-Herzegovina,0.00025
8,2026-06-13,Congo DR,0.00025
8,2026-06-13,Saudi Arabia,0.00025
8,2026-06-13,Czechia,0.0
8,2026-06-13,Qatar,0.0
8,2026-06-13,Haiti,0.0
8,2026-06-13,Sweden,0.0
8,2026-06-13,New Zealand,0.0
8,2026-06-13,Ghana,0.0
12,2026-06-14,Spain,0.1365
12,2026-06-14,Portugal,0.1125
12,2026-06-14,France,0.09525
12,2026-06-14,Brazil,0.0585
12,2026-06-14,Argentina,0.05725
12,2026-06-14,Colombia,0.04525
12,2026-06-14,Mexico,0.044
12,2026-06-14,Germany,0.04025
12,2026-06-14,Australia,0.03675
12,2026-06-14,South Korea,0.036
12,2026-06-14,Morocco,0.03475
12,2026-06-14,Japan,0.03225
12,2026-06-14,Ivory Coast,0.032
12,2026-06-14,England,0.02625
12,2026-06-14,Belgium,0.024
12,2026-06-14,Algeria,0.021
12,2026-06-14,Croatia,0.02025
12,2026-06-14,Austria,0.02
12,2026-06-14,Netherlands,0.01875
12,2026-06-14,Ecuador,0.01825
12,2026-06-14,Uruguay,0.016
12,2026-06-14,Switzerland,0.014
12,2026-06-14,United States,0.01025
12,2026-06-14,Egypt,0.00875
12,2026-06-14,Senegal,0.0075
12,2026-06-14,Scotland,0.00725
12,2026-06-14,Canada,0.00325
12,2026-06-14,Paraguay,0.003
12,2026-06-14,Uzbekistan,0.00275
12,2026-06-14,Norway,0.0025
12,2026-06-14,Sweden,0.0025
12,2026-06-14,South Africa,0.002
12,2026-06-14,Iran,0.00175
12,2026-06-14,Cape Verde,0.0015
12,2026-06-14,Iraq,0.00125
12,2026-06-14,Tunisia,0.001
12,2026-06-14,Türkiye,0.00075
12,2026-06-14,Jordan,0.00075
12,2026-06-14,Panama,0.00075
12,2026-06-14,Congo DR,0.00075
12,2026-06-14,Haiti,0.0005
12,2026-06-14,Bosnia-Herzegovina,0.0005
12,2026-06-14,Czechia,0.00025
12,2026-06-14,Qatar,0.00025
12,2026-06-14,Curaçao,0.00025
12,2026-06-14,Ghana,0.00025
12,2026-06-14,Saudi Arabia,0.0
12,2026-06-14,New Zealand,0.0
16,2026-06-15,Portugal,0.121
16,2026-06-15,Spain,0.10275
16,2026-06-15,France,0.098
16,2026-06-15,Brazil,0.06225
16,2026-06-15,Argentina,0.06025
16,2026-06-15,Colombia,0.0485
16,2026-06-15,Germany,0.04575
16,2026-06-15,Mexico,0.0425
16,2026-06-15,Australia,0.03925
16,2026-06-15,Ivory Coast,0.0385
16,2026-06-15,Morocco,0.033
16,2026-06-15,South Korea,0.0325
16,2026-06-15,Japan,0.026
16,2026-06-15,England,0.02525
16,2026-06-15,Netherlands,0.0235
16,2026-06-15,Croatia,0.02325
16,2026-06-15,Austria,0.02275
16,2026-06-15,Algeria,0.02125
16,2026-06-15,Ecuador,0.0205
16,2026-06-15,Belgium,0.019
16,2026-06-15,Switzerland,0.0155
16,2026-06-15,Egypt,0.0125
16,2026-06-15,Uruguay,0.012
16,2026-06-15,United States,0.0095
16,2026-06-15,Scotland,0.00825
16,2026-06-15,Senegal,0.00825
16,2026-06-15,Cape Verde,0.00475
16,2026-06-15,Uzbekistan,0.00375
16,2026-06-15,Norway,0.00375
16,2026-06-15,Canada,0.0035
16,2026-06-15,Sweden,0.002
16,2026-06-15,Paraguay,0.00125
16,2026-06-15,South Africa,0.00125
16,2026-06-15,Türkiye,0.00125
16,2026-06-15,Panama,0.00125
16,2026-06-15,Iran,0.001
16,2026-06-15,Jordan,0.00075
16,2026-06-15,Iraq,0.00075
16,2026-06-15,Congo DR,0.00075
16,2026-06-15,Tunisia,0.00075
16,2026-06-15,Qatar,0.0005
16,2026-06-15,Haiti,0.00025
16,2026-06-15,Czechia,0.00025
16,2026-06-15,Bosnia-Herzegovina,0.00025
16,2026-06-15,Saudi Arabia,0.00025
16,2026-06-15,Curaçao,0.0
16,2026-06-15,New Zealand,0.0
16,2026-06-15,Ghana,0.0
20,2026-06-16,Portugal,0.12125
20,2026-06-16,France,0.116
20,2026-06-16,Argentina,0.1115
20,2026-06-16,Spain,0.0955
20,2026-06-16,Brazil,0.045
20,2026-06-16,Mexico,0.0435
20,2026-06-16,Austria,0.043
20,2026-06-16,Germany,0.04075
20,2026-06-16,Colombia,0.03875
20,2026-06-16,Ivory Coast,0.03775
20,2026-06-16,Australia,0.0375
20,2026-06-16,Morocco,0.03025
20,2026-06-16,South Korea,0.0275
20,2026-06-16,England,0.02475
20,2026-06-16,Japan,0.02425
20,2026-06-16,Croatia,0.0225
20,2026-06-16,Netherlands,0.02075
20,2026-06-16,Belgium,0.0195
20,2026-06-16,Ecuador,0.015
20,2026-06-16,Norway,0.01225
20,2026-06-16,Switzerland,0.01025
20,2026-06-16,United States,0.01
20,2026-06-16,Egypt,0.00975
20,2026-06-16,Uruguay,0.00975
20,2026-06-16,Scotland,0.00825
20,2026-06-16,Algeria,0.0075
20,2026-06-16,Uzbekistan,0.0035
20,2026-06-16,Senegal,0.003
20,2026-06-16,Canada,0.0025
20,2026-06-16,Iran,0.002
20,2026-06-16,Sweden,0.00175
20,2026-06-16,South Africa,0.0015
20,2026-06-16,Cape Verde,0.00075
20,2026-06-16,Paraguay,0.00075
20,2026-06-16,Congo DR,0.0005
20,2026-06-16,Tunisia,0.0005
20,2026-06-16,Czechia,0.00025
20,2026-06-16,Qatar,0.00025
20,2026-06-16,Bosnia-Herzegovina,0.0
20,2026-06-16,Haiti,0.0
20,2026-06-16,Türkiye,0.0
20,2026-06-16,Saudi Arabia,0.0
20,2026-06-16,Curaçao,0.0
20,2026-06-16,New Zealand,0.0
20,2026-06-16,Jordan,0.0
20,2026-06-16,Iraq,0.0
20,2026-06-16,Ghana,0.0
20,2026-06-16,Panama,0.0
24,2026-06-17,France,0.12375
24,2026-06-17,Argentina,0.111
24,2026-06-17,Spain,0.10875
24,2026-06-17,Portugal,0.07525
24,2026-06-17,Colombia,0.06025
24,2026-06-17,Brazil,0.05025
24,2026-06-17,England,0.04675
24,2026-06-17,Austria,0.0425
24,2026-06-17,Mexico,0.0395
24,2026-06-17,Germany,0.03775
24,2026-06-17,Australia,0.036
24,2026-06-17,Ivory Coast,0.03375
24,2026-06-17,Morocco,0.029
24,2026-06-17,South Korea,0.0285
24,2026-06-17,Japan,0.025
24,2026-06-17,Belgium,0.02225
24,2026-06-17,Ecuador,0.0215
24,2026-06-17,Netherlands,0.02025
24,2026-06-17,Switzerland,0.014
24,2026-06-17,Egypt,0.01175
24,2026-06-17,Uruguay,0.0105
24,2026-06-17,Croatia,0.00775
24,2026-06-17,Norway,0.00775
24,2026-06-17,United States,0.00675
24,2026-06-17,Algeria,0.006
24,2026-06-17,Scotland,0.0035
24,2026-06-17,Senegal,0.003
24,2026-06-17,Paraguay,0.003
24,2026-06-17,Canada,0.00275
24,2026-06-17,Congo DR,0.002
24,2026-06-17,Cape Verde,0.002
24,2026-06-17,South Africa,0.00125
24,2026-06-17,Iran,0.00125
24,2026-06-17,Uzbekistan,0.001
24,2026-06-17,Ghana,0.00075
24,2026-06-17,Sweden,0.00075
24,2026-06-17,Türkiye,0.0005
24,2026-06-17,Tunisia,0.0005
24,2026-06-17,Qatar,0.00025
24,2026-06-17,Bosnia-Herzegovina,0.00025
24,2026-06-17,Panama,0.00025
24,2026-06-17,Saudi Arabia,0.00025
24,2026-06-17,Curaçao,0.00025
24,2026-06-17,Czechia,0.0
24,2026-06-17,Haiti,0.0
24,2026-06-17,New Zealand,0.0
24,2026-06-17,Jordan,0.0
24,2026-06-17,Iraq,0.0
28,2026-06-18,France,0.13175
28,2026-06-18,Argentina,0.10125
28,2026-06-18,Spain,0.0955
28,2026-06-18,Portugal,0.081
28,2026-06-18,Colombia,0.05925
28,2026-06-18,Brazil,0.053
28,2026-06-18,Mexico,0.0475
28,2026-06-18,Germany,0.04575
28,2026-06-18,England,0.04225
28,2026-06-18,Austria,0.03975
28,2026-06-18,Australia,0.03575
28,2026-06-18,Morocco,0.02975
28,2026-06-18,Japan,0.02975
28,2026-06-18,Ivory Coast,0.02925
28,2026-06-18,Switzerland,0.02725
28,2026-06-18,Belgium,0.02175
28,2026-06-18,Netherlands,0.016
28,2026-06-18,South Korea,0.01575
28,2026-06-18,Ecuador,0.0145
28,2026-06-18,Uruguay,0.01275
28,2026-06-18,Norway,0.0115
28,2026-06-18,Canada,0.0095
28,2026-06-18,Egypt,0.009
28,2026-06-18,Croatia,0.00825
28,2026-06-18,United States,0.00625
28,2026-06-18,Algeria,0.00575
28,2026-06-18,Scotland,0.00575
28,2026-06-18,Cape Verde,0.003
28,2026-06-18,Senegal,0.00225
28,2026-06-18,Iran,0.00125
28,2026-06-18,Paraguay,0.00125
28,2026-06-18,Türkiye,0.00125
28,2026-06-18,Congo DR,0.00125
28,2026-06-18,Tunisia,0.00125
28,2026-06-18,Sweden,0.001
28,2026-06-18,Uzbekistan,0.00075
28,2026-06-18,South Africa,0.00075
28,2026-06-18,Ghana,0.00025
28,2026-06-18,Jordan,0.00025
28,2026-06-18,Qatar,0.0
28,2026-06-18,Haiti,0.0
28,2026-06-18,Czechia,0.0
28,2026-06-18,Bosnia-Herzegovina,0.0
28,2026-06-18,Curaçao,0.0
28,2026-06-18,Saudi Arabia,0.0
28,2026-06-18,New Zealand,0.0
28,2026-06-18,Iraq,0.0
28,2026-06-18,Panama,0.0
32,2026-06-19,France,0.1215
32,2026-06-19,Argentina,0.0925
32,2026-06-19,Spain,0.088
32,2026-06-19,Portugal,0.0765
32,2026-06-19,Brazil,0.07325
32,2026-06-19,Colombia,0.068
32,2026-06-19,Morocco,0.04875
32,2026-06-19,Mexico,0.04875
32,2026-06-19,Germany,0.04225
32,2026-06-19,England,0.04075
32,2026-06-19,Austria,0.04
32,2026-06-19,Ivory Coast,0.029
32,2026-06-19,Switzerland,0.02525
32,2026-06-19,United States,0.02125
32,2026-06-19,Belgium,0.021
32,2026-06-19,Japan,0.02025
32,2026-06-19,Netherlands,0.0195
32,2026-06-19,South Korea,0.019
32,2026-06-19,Ecuador,0.0185
32,2026-06-19,Australia,0.0155
32,2026-06-19,Norway,0.01175
32,2026-06-19,Uruguay,0.00975
32,2026-06-19,Canada,0.0095
32,2026-06-19,Egypt,0.00925
32,2026-06-19,Croatia,0.0065
32,2026-06-19,Algeria,0.006
32,2026-06-19,Paraguay,0.004
32,2026-06-19,Cape Verde,0.00275
32,2026-06-19,Scotland,0.0025
32,2026-06-19,Senegal,0.00225
32,2026-06-19,Uzbekistan,0.001
32,2026-06-19,South Africa,0.001
32,2026-06-19,Congo DR,0.001
32,2026-06-19,Iran,0.001
32,2026-06-19,Tunisia,0.00075
32,2026-06-19,Sweden,0.0005
32,2026-06-19,Jordan,0.00025
32,2026-06-19,Panama,0.00025
32,2026-06-19,Curaçao,0.00025
32,2026-06-19,Saudi Arabia,0.00025
32,2026-06-19,Türkiye,0.0
32,2026-06-19,Haiti,0.0
32,2026-06-19,Bosnia-Herzegovina,0.0
32,2026-06-19,Qatar,0.0
32,2026-06-19,Czechia,0.0
32,2026-06-19,New Zealand,0.0
32,2026-06-19,Iraq,0.0
32,2026-06-19,Ghana,0.0
36,2026-06-20,France,0.1205
36,2026-06-20,Argentina,0.09825
36,2026-06-20,Spain,0.08925
36,2026-06-20,Brazil,0.0715
36,2026-06-20,Colombia,0.068
36,2026-06-20,Portugal,0.0665
36,2026-06-20,Germany,0.0525
36,2026-06-20,England,0.052
36,2026-06-20,Morocco,0.05
36,2026-06-20,Japan,0.046
36,2026-06-20,Netherlands,0.046
36,2026-06-20,Austria,0.04
36,2026-06-20,Mexico,0.0375
36,2026-06-20,Switzerland,0.024
36,2026-06-20,United States,0.01825
36,2026-06-20,South Korea,0.01625
36,2026-06-20,Ivory Coast,0.0145
36,2026-06-20,Belgium,0.01425
36,2026-06-20,Australia,0.01075
36,2026-06-20,Egypt,0.00875
36,2026-06-20,Norway,0.00875
36,2026-06-20,Uruguay,0.00825
36,2026-06-20,Canada,0.0075
36,2026-06-20,Ecuador,0.00675
36,2026-06-20,Paraguay,0.00425
36,2026-06-20,Algeria,0.0035
36,2026-06-20,Croatia,0.00325
36,2026-06-20,Senegal,0.00275
36,2026-06-20,Cape Verde,0.0025
36,2026-06-20,Scotland,0.00225
36,2026-06-20,Uzbekistan,0.00125
36,2026-06-20,Iran,0.001
36,2026-06-20,Congo DR,0.001
36,2026-06-20,Ghana,0.0005
36,2026-06-20,Jordan,0.0005
36,2026-06-20,Sweden,0.00025
36,2026-06-20,Bosnia-Herzegovina,0.00025
36,2026-06-20,South Africa,0.00025
36,2026-06-20,Saudi Arabia,0.00025
36,2026-06-20,Türkiye,0.00025
36,2026-06-20,Haiti,0.0
36,2026-06-20,Qatar,0.0
36,2026-06-20,Czechia,0.0
36,2026-06-20,Curaçao,0.0
36,2026-06-20,New Zealand,0.0
36,2026-06-20,Tunisia,0.0
36,2026-06-20,Iraq,0.0
36,2026-06-20,Panama,0.0
40,2026-06-21,Spain,0.125
40,2026-06-21,France,0.1105
40,2026-06-21,Argentina,0.09875
40,2026-06-21,Portugal,0.077
40,2026-06-21,Colombia,0.06525
40,2026-06-21,Brazil,0.065
40,2026-06-21,Japan,0.051
40,2026-06-21,England,0.04925
40,2026-06-21,Germany,0.0465
40,2026-06-21,Morocco,0.04125
40,2026-06-21,Mexico,0.03975
40,2026-06-21,Netherlands,0.03675
40,2026-06-21,Austria,0.0355
40,2026-06-21,Switzerland,0.02225
40,2026-06-21,Egypt,0.01875
40,2026-06-21,South Korea,0.0155
40,2026-06-21,Belgium,0.015
40,2026-06-21,Ivory Coast,0.01375
40,2026-06-21,United States,0.01275
40,2026-06-21,Australia,0.00975
40,2026-06-21,Croatia,0.00675
40,2026-06-21,Norway,0.0065
40,2026-06-21,Canada,0.006
40,2026-06-21,Ecuador,0.006
40,2026-06-21,Algeria,0.00525
40,2026-06-21,Uruguay,0.0045
40,2026-06-21,Senegal,0.004
40,2026-06-21,Scotland,0.00275
40,2026-06-21,Paraguay,0.002
40,2026-06-21,Cape Verde,0.002
40,2026-06-21,Iran,0.0015
40,2026-06-21,Ghana,0.001
40,2026-06-21,Uzbekistan,0.001
40,2026-06-21,Curaçao,0.0005
40,2026-06-21,Congo DR,0.0005
40,2026-06-21,Sweden,0.00025
40,2026-06-21,South Africa,0.00025
40,2026-06-21,Czechia,0.0
40,2026-06-21,Bosnia-Herzegovina,0.0
40,2026-06-21,Qatar,0.0
40,2026-06-21,Türkiye,0.0
40,2026-06-21,Haiti,0.0
40,2026-06-21,Tunisia,0.0
40,2026-06-21,New Zealand,0.0
40,2026-06-21,Saudi Arabia,0.0
40,2026-06-21,Iraq,0.0
40,2026-06-21,Jordan,0.0
40,2026-06-21,Panama,0.0
44,2026-06-22,Argentina,0.13675
44,2026-06-22,Spain,0.11675
44,2026-06-22,France,0.10825
44,2026-06-22,Brazil,0.07025
44,2026-06-22,Portugal,0.065
44,2026-06-22,Colombia,0.05825
44,2026-06-22,Japan,0.05
44,2026-06-22,Germany,0.04625
44,2026-06-22,Morocco,0.04075
44,2026-06-22,Mexico,0.03725
44,2026-06-22,England,0.0365
44,2026-06-22,Netherlands,0.03275
44,2026-06-22,Switzerland,0.0255
44,2026-06-22,Austria,0.0215
44,2026-06-22,United States,0.02
44,2026-06-22,Egypt,0.01625
44,2026-06-22,Ivory Coast,0.0155
44,2026-06-22,Belgium,0.014
44,2026-06-22,South Korea,0.014
44,2026-06-22,Algeria,0.013
44,2026-06-22,Norway,0.013
44,2026-06-22,Australia,0.012
44,2026-06-22,Croatia,0.00675
44,2026-06-22,Canada,0.006
44,2026-06-22,Paraguay,0.006
44,2026-06-22,Uruguay,0.005
44,2026-06-22,Ecuador,0.004
44,2026-06-22,Scotland,0.00275
44,2026-06-22,Cape Verde,0.00175
44,2026-06-22,Congo DR,0.00175
44,2026-06-22,Senegal,0.001
44,2026-06-22,Iran,0.00075
44,2026-06-22,Curaçao,0.00025
44,2026-06-22,South Africa,0.00025
44,2026-06-22,Sweden,0.00025
44,2026-06-22,Türkiye,0.0
44,2026-06-22,Czechia,0.0
44,2026-06-22,Haiti,0.0
44,2026-06-22,Bosnia-Herzegovina,0.0
44,2026-06-22,Qatar,0.0
44,2026-06-22,Saudi Arabia,0.0
44,2026-06-22,New Zealand,0.0
44,2026-06-22,Tunisia,0.0
44,2026-06-22,Iraq,0.0
44,2026-06-22,Jordan,0.0
44,2026-06-22,Uzbekistan,0.0
44,2026-06-22,Ghana,0.0
44,2026-06-22,Panama,0.0
48,2026-06-23,Argentina,0.115
48,2026-06-23,Portugal,0.1135
48,2026-06-23,France,0.11125
48,2026-06-23,Spain,0.1005
48,2026-06-23,Colombia,0.067
48,2026-06-23,Brazil,0.0555
48,2026-06-23,Germany,0.04625
48,2026-06-23,Japan,0.04375
48,2026-06-23,Netherlands,0.039
48,2026-06-23,Morocco,0.03825
48,2026-06-23,Mexico,0.0365
48,2026-06-23,England,0.03275
48,2026-06-23,Switzerland,0.02375
48,2026-06-23,South Korea,0.0195
48,2026-06-23,Austria,0.018
48,2026-06-23,Egypt,0.017
48,2026-06-23,United States,0.01625
48,2026-06-23,Algeria,0.015
48,2026-06-23,Belgium,0.01425
48,2026-06-23,Norway,0.014
48,2026-06-23,Ivory Coast,0.014
48,2026-06-23,Australia,0.01125
48,2026-06-23,Croatia,0.00775
48,2026-06-23,Ecuador,0.0065
48,2026-06-23,Canada,0.00625
48,2026-06-23,Uruguay,0.00525
48,2026-06-23,Paraguay,0.005
48,2026-06-23,Scotland,0.00225
48,2026-06-23,Cape Verde,0.00125
48,2026-06-23,Senegal,0.00125
48,2026-06-23,Iran,0.00075
48,2026-06-23,Türkiye,0.0005
48,2026-06-23,South Africa,0.0005
48,2026-06-23,Sweden,0.00025
48,2026-06-23,Ghana,0.00025
48,2026-06-23,Qatar,0.0
48,2026-06-23,Haiti,0.0
48,2026-06-23,Czechia,0.0
48,2026-06-23,Bosnia-Herzegovina,0.0
48,2026-06-23,Tunisia,0.0
48,2026-06-23,Saudi Arabia,0.0
48,2026-06-23,New Zealand,0.0
48,2026-06-23,Curaçao,0.0
48,2026-06-23,Iraq,0.0
48,2026-06-23,Jordan,0.0
48,2026-06-23,Congo DR,0.0
48,2026-06-23,Uzbekistan,0.0
48,2026-06-23,Panama,0.0
54,2026-06-24,Argentina,0.12525
54,2026-06-24,Spain,0.10575
54,2026-06-24,France,0.104
54,2026-06-24,Portugal,0.0975
54,2026-06-24,Brazil,0.085
54,2026-06-24,Colombia,0.057
54,2026-06-24,Morocco,0.0515
54,2026-06-24,Japan,0.04625
54,2026-06-24,Germany,0.04175
54,2026-06-24,Mexico,0.03775
54,2026-06-24,England,0.03475
54,2026-06-24,Switzerland,0.0325
54,2026-06-24,Netherlands,0.03025
54,2026-06-24,Austria,0.0205
54,2026-06-24,Egypt,0.01675
54,2026-06-24,United States,0.01575
54,2026-06-24,Belgium,0.015
54,2026-06-24,Ivory Coast,0.01375
54,2026-06-24,Norway,0.0125
54,2026-06-24,Algeria,0.0105
54,2026-06-24,Croatia,0.0085
54,2026-06-24,Australia,0.008
54,2026-06-24,South Korea,0.007
54,2026-06-24,Ecuador,0.00575
54,2026-06-24,Uruguay,0.0035
54,2026-06-24,South Africa,0.003
54,2026-06-24,Paraguay,0.003
54,2026-06-24,Canada,0.00175
54,2026-06-24,Cape Verde,0.0015
54,2026-06-24,Senegal,0.001
54,2026-06-24,Iran,0.0005
54,2026-06-24,Scotland,0.0005
54,2026-06-24,Ghana,0.0005
54,2026-06-24,Saudi Arabia,0.0005
54,2026-06-24,Sweden,0.00025
54,2026-06-24,Curaçao,0.00025
54,2026-06-24,Bosnia-Herzegovina,0.00025
54,2026-06-24,Congo DR,0.00025
54,2026-06-24,Czechia,0.0
54,2026-06-24,Qatar,0.0
54,2026-06-24,Türkiye,0.0
54,2026-06-24,Haiti,0.0
54,2026-06-24,New Zealand,0.0
54,2026-06-24,Tunisia,0.0
54,2026-06-24,Jordan,0.0
54,2026-06-24,Iraq,0.0
54,2026-06-24,Uzbekistan,0.0
54,2026-06-24,Panama,0.0
60,2026-06-25,Argentina,0.11725
60,2026-06-25,France,0.10025
60,2026-06-25,Spain,0.09875
60,2026-06-25,Portugal,0.09
60,2026-06-25,Brazil,0.08325
60,2026-06-25,Colombia,0.06375
60,2026-06-25,Netherlands,0.05175
60,2026-06-25,Mexico,0.04525
60,2026-06-25,Switzerland,0.04075
60,2026-06-25,Morocco,0.0395
60,2026-06-25,England,0.03525
60,2026-06-25,Japan,0.03475
60,2026-06-25,Germany,0.03025
60,2026-06-25,Ecuador,0.03
60,2026-06-25,Ivory Coast,0.02625
60,2026-06-25,Austria,0.0175
60,2026-06-25,Norway,0.015
60,2026-06-25,Egypt,0.01375
60,2026-06-25,Algeria,0.01225
60,2026-06-25,Belgium,0.01125
60,2026-06-25,Australia,0.01
60,2026-06-25,Paraguay,0.0075
60,2026-06-25,Croatia,0.007
60,2026-06-25,Uruguay,0.005
60,2026-06-25,United States,0.0035
60,2026-06-25,South Korea,0.0035
60,2026-06-25,South Africa,0.002
60,2026-06-25,Canada,0.001
60,2026-06-25,Cape Verde,0.00075
