player_id,team,team_code,position,age,debut_age,career_years,caps,overall,skill_pace,skill_shooting,skill_passing,skill_dribbling,skill_defending,skill_physical,market_value_eur,followers,engagement_rate,longevity,skill_index,log_followers,social_score,pos_DF,pos_FW,pos_GK,pos_MF
12,Mexico,MEX,MF,27,21,6,47,77.0,72.4,75.9,80.4,83.8,75.3,74.3,18717236,237765,0.0293,-0.08198944703011775,77.63500000000002,5.376147925027896,0.131211134236061,0,0,0,1
13,Mexico,MEX,MF,30,16,14,87,69.7,61.7,71.6,75.5,81.7,61.4,66.1,4878448,61377,0.0515,1.834585760000151,71.345,4.788005657062788,-0.4058838351341825,0,0,0,1
14,Mexico,MEX,MF,26,19,7,45,74.2,73.8,73.7,77.4,75.1,74.5,71.0,20440989,254963,0.061,0.007593371500375375,74.545,5.40647716058405,0.3492461620372733,0,0,0,1
15,Mexico,MEX,MF,26,19,7,42,77.1,68.4,84.5,84.0,83.0,74.8,67.8,7650448,3453519,0.0453,-0.05668766379174911,79.045,6.538261849678334,1.5310643019358485,0,0,0,1
16,Mexico,MEX,MF,25,20,5,35,73.7,77.1,75.4,78.3,80.6,70.0,60.9,6857276,3532274,0.0309,-0.4715504302571918,75.28500000000001,6.548054384620313,1.4406061153836887,0,0,0,1
17,Mexico,MEX,MF,30,25,5,32,74.0,81.7,75.3,83.9,77.8,60.9,64.2,9175569,259579,0.0336,-0.5358314655493163,75.93,5.41426955502732,0.19849308786981917,0,0,0,1
18,Mexico,MEX,MF,27,19,8,48,74.4,68.6,78.7,79.7,86.5,77.0,55.7,16622565,73433,0.0379,0.204311248851076,76.475,4.865891271049046,-0.3889658312868517,0,0,0,1
19,Mexico,MEX,MF,20,22,1,11,74.5,73.2,60.6,87.9,80.8,72.8,71.6,6913990,218108,0.0326,-1.5155460808284922,74.31,5.338671595391339,0.10865813552349929,0,0,0,1
20,Mexico,MEX,FW,32,18,14,88,74.4,76.6,88.8,73.5,84.3,53.5,69.8,7925940,16969,0.0336,1.8560127717641923,77.58,4.2296562496672125,-1.1191841945312164,0,1,0,0
21,Mexico,MEX,FW,25,22,3,23,74.8,81.8,90.0,75.7,81.3,61.4,58.7,4848807,866290,0.0439,-0.9935482555428419,78.18,5.937663301158921,0.8464942380219438,0,1,0,0
22,Mexico,MEX,FW,21,21,1,12,73.9,65.4,85.2,63.8,86.3,64.6,78.2,8856609,101537,0.0129,-1.4941190690644506,75.41,5.0066243276455715,-0.3664726013996938,0,1,0,0
23,Mexico,MEX,FW,29,20,9,49,71.7,79.3,78.2,68.0,83.7,53.2,68.0,5928101,12426,0.0346,0.35817510267369357,73.905,4.0943313492770965,-1.2653035385366935,0,1,0,0
24,Mexico,MEX,FW,34,22,12,86,69.4,79.4,74.1,68.6,74.0,55.8,64.4,4015013,82920,0.0379,1.5482850641189572,70.975,4.918659293421824,-0.3300263537680992,0,1,0,0
25,Mexico,MEX,FW,28,22,6,40,63.2,66.8,74.1,55.4,74.7,43.6,64.8,3858738,295735,0.0511,-0.23197852937840824,65.405,5.470902725971363,0.364520842819577,0,1,0,0
26,Netherlands,NED,GK,33,22,11,66,72.9,73.2,66.3,79.0,62.4,74.2,82.4,6864399,41123,0.0433,0.9873079867795513,71.495,4.614084789740153,-0.6434083450609597,0,0,1,0
27,Netherlands,NED,GK,26,16,10,47,72.6,63.6,60.4,70.7,70.3,88.2,82.3,13518525,269344,0.0563,0.4477579212041867,69.89,5.430307305495805,0.34898932322587023,0,0,1,0
28,Netherlands,NED,GK,29,20,9,38,69.6,70.7,56.5,71.6,63.9,81.7,73.4,2243239,37246,0.02,0.12247797326923714,67.34,4.571079638931142,-0.806311539906263,0,0,1,0
29,Netherlands,NED,DF,20,18,2,8,78.9,79.7,75.9,79.3,69.9,87.5,80.9,9307113,1253087,0.0049,-1.4473902740620406,77.61000000000001,6.097981224472414,0.7706616641628001,1,0,0,0
30,Netherlands,NED,DF,24,21,3,13,77.3,73.4,60.0,74.2,75.5,83.3,97.1,30469841,703332,0.044,-1.2078183731832568,73.99000000000001,5.847160377270175,0.7454514688273419,1,0,0,0
31,Netherlands,NED,DF,27,21,6,40,78.7,84.1,64.9,77.1,71.6,89.0,85.5,6019905,1953128,0.0497,-0.23197852937840824,76.03,6.290730706099981,1.2823995170861437,1,0,0,0
32,Netherlands,NED,DF,28,16,12,60,71.6,68.2,73.1,62.6,65.9,81.2,78.9,11594083,63858,0.0356,0.9911827582538784,70.215,4.805215312534689,-0.46863191352154365,1,0,0,0
33,Netherlands,NED,DF,28,22,6,26,74.6,64.1,73.5,78.1,66.2,82.6,83.1,18470920,3403368,0.0378,-0.5319566940749891,73.42,6.531908911108294,1.4711970461483546,1,0,0,0
34,Netherlands,NED,DF,28,21,7,29,76.7,74.1,69.8,73.5,63.3,90.8,89.0,12616880,529012,0.0287,-0.33523881672428857,73.905,5.723465523594116,0.5122389880009893,1,0,0,0
35,Netherlands,NED,DF,27,21,6,31,74.3,71.9,74.5,79.9,59.6,86.0,73.8,15495520,3381808,0.0262,-0.42482163525478167,73.28999999999999,6.529148947168426,1.3866076626442791,1,0,0,0
36,Netherlands,NED,DF,28,18,10,77,77.2,84.7,68.4,64.7,67.8,83.5,93.8,16866836,984525,0.0287,1.0905682741254317,74.035,5.993226748634823,0.8108791528106416,1,0,0,0
37,Netherlands,NED,DF,21,19,2,8,75.1,60.6,72.6,72.5,70.9,98.5,75.6,15797680,3736443,0.0325,-1.4473902740620406,73.33,6.572458361415074,1.4789973143129864,1,0,0,0
38,Netherlands,NED,MF,25,18,7,39,81.0,85.1,90.5,79.0,71.4,81.5,78.5,19543222,2074122,0.0481,-0.12096869908387359,81.47,6.316834298035907,1.301010767231266,0,0,0,1
39,Netherlands,NED,MF,25,19,6,33,76.4,71.6,72.2,72.4,90.1,80.3,71.7,10427408,85268,0.0366,-0.3819676117266987,76.49000000000001,4.930786076526747,-0.323379547890777,0,0,0,1
40,Netherlands,NED,MF,25,16,9,52,76.9,79.1,73.6,86.1,78.4,71.2,72.8,16374074,2251680,0.0269,0.42245613796581805,77.565,6.352506670322746,1.1963158703504435,0,0,0,1
41,Netherlands,NED,MF,27,21,6,38,78.1,75.1,80.6,81.4,79.0,81.4,71.2,23446367,2223080,0.0141,-0.2748325529064912,78.75500000000001,6.346955091548924,1.1027517615356086,0,0,0,1
42,Netherlands,NED,MF,26,22,4,30,83.4,78.8,81.9,88.1,96.9,67.6,86.8,39002058,494777,0.0399,-0.7111223311359753,84.73500000000001,5.694409502991749,0.5487075756573988,0,0,0,1
43,Netherlands,NED,MF,24,20,4,30,76.6,71.7,78.2,83.6,83.8,66.1,76.0,28025077,278493,0.0182,-0.7111223311359753,77.99499999999999,5.444814283532802,0.14223200001480904,0,0,0,1
44,Netherlands,NED,MF,30,17,13,68,84.7,80.1,91.4,78.5,83.8,91.1,83.1,11591072,949250,0.0429,1.2950356944247865,84.745,5.977380605811835,0.8846804492444883,0,0,0,1
45,Netherlands,NED,MF,28,19,9,55,78.6,75.9,75.7,81.2,80.1,69.5,89.5,13856291,214614,0.0297,0.4867371732579425,78.47000000000001,5.331658049057839,0.08422482814052072,0,0,0,1
46,Netherlands,NED,FW,29,20,9,57,78.1,79.2,93.3,79.5,86.1,60.5,70.1,6340881,542196,0.0262,0.5295911967860256,81.38499999999999,5.734156309289587,0.5086469774948569,0,1,0,0
47,Netherlands,NED,FW,30,17,13,89,78.6,88.7,83.4,75.8,91.5,59.4,72.7,17054768,18922362,0.0523,1.7450029414696577,80.82499999999999,7.276975346629209,2.416875200822269,0,1,0,0
48,Netherlands,NED,FW,32,21,11,61,78.4,88.6,87.0,68.6,94.4,66.1,65.9,12265741,84873,0.0341,0.8801729279593438,80.84,4.928769553424668,-0.3388895476365987,0,1,0,0
49,Netherlands,NED,FW,27,20,7,34,83.9,96.8,99.0,67.1,85.6,74.1,80.9,23991925,571739,0.0411,-0.22810375790408108,85.31,5.757197817729583,0.6264092572329296,0,1,0,0
50,Netherlands,NED,FW,25,18,7,43,77.5,83.8,83.7,79.0,86.6,63.4,68.5,13034810,81743,0.0329,-0.03526065202770761,79.805,4.91245057244503,-0.3633943153868113,0,1,0,0
51,Netherlands,NED,FW,24,21,3,24,81.2,95.1,85.2,77.3,78.7,66.5,84.2,19044391,189235,0.0587,-0.9721212437788005,81.83500000000001,5.277001464523977,0.1883474506363137,0,1,0,0
52,Ghana,GHA,GK,28,20,8,56,60.7,64.3,43.6,65.7,52.8,74.2,63.5,1924490,460730,0.0331,0.37572734296340793,58.01500000000001,5.663446491849528,0.47261189620467065,0,0,1,0
53,Ghana,GHA,GK,27,21,6,45,54.7,53.0,35.0,58.2,59.7,66.2,56.3,1774818,3162,0.0535,-0.12484347055820075,52.53000000000001,3.49996186559619,-1.8558886459706043,0,0,1,0
54,Ghana,GHA,GK,20,22,1,7,65.4,63.2,52.0,58.3,66.2,78.7,73.9,5306232,21604,0.0404,-1.6012541278846582,62.64,4.334534168609156,-0.9708057983935163,0,0,1,0
55,Ghana,GHA,DF,30,23,7,40,64.2,61.5,65.2,58.4,58.1,71.5,70.6,4655330,6946,0.0184,-0.0995416873198321,63.035000000000004,3.8417347789747436,-1.6135218266886473,1,0,0,0
56,Ghana,GHA,DF,25,21,4,20,68.0,72.4,58.7,70.7,58.3,76.0,71.9,5986287,119033,0.0484,-0.9253924487763903,66.12500000000001,5.075667379300927,-0.0973016458772043,1,0,0,0
57,Ghana,GHA,DF,29,16,13,80,61.5,58.0,53.6,68.4,56.8,66.4,65.5,2508743,9997,0.0457,1.5521598355932844,60.33,3.999869692108268,-1.3226971512053798,1,0,0,0
58,Ghana,GHA,DF,28,22,6,40,68.7,71.5,61.6,63.8,58.5,77.4,79.7,6154661,28679,0.035,-0.23197852937840824,66.295,4.457564003967399,-0.8589603406938534,1,0,0,0
59,Ghana,GHA,DF,27,19,8,52,67.2,70.0,50.9,64.7,67.4,74.3,75.7,7750296,59563,0.0347,0.29001929590724196,64.64500000000001,4.77497656367104,-0.506957180148561,1,0,0,0
60,Ghana,GHA,DF,27,20,7,34,62.3,66.5,51.8,58.3,52.5,74.5,70.1,4156575,3162,0.038,-0.22810375790408108,59.544999999999995,3.49996186559619,-1.914270107396889,1,0,0,0
61,Ghana,GHA,DF,24,23,1,4,62.7,62.1,51.5,64.6,47.7,84.8,65.2,4631341,473324,0.0419,-1.6655351631767825,59.65,5.6751585260257995,0.5393785212241698,1,0,0,0
62,Ghana,GHA,DF,23,20,3,14,65.1,74.9,44.1,72.8,48.6,73.8,76.7,4217435,38318,0.0431,-1.1863913614192154,61.59,4.583402833088361,-0.6788434973819163,1,0,0,0
63,Ghana,GHA,DF,35,24,11,61,66.5,64.7,51.1,62.4,61.6,82.8,76.3,3835061,722503,0.0384,0.8801729279593438,63.190000000000005,5.858839654723728,0.7232648335697349,1,0,0,0
64,Ghana,GHA,MF,34,20,14,90,66.2,61.0,63.2,75.8,58.3,78.2,60.6,2026767,3327,0.0463,1.8988667952922755,65.64999999999999,3.5220528008688223,-1.858133510107601,0,0,0,1
65,Ghana,GHA,MF,23,20,3,17,64.8,61.9,58.5,72.6,69.5,62.7,63.8,8206253,882477,0.0348,-1.1221103261270908,64.98,5.94570339518932,0.7972995490510538,0,0,0,1
66,Ghana,GHA,MF,28,19,9,53,68.0,62.4,56.8,79.8,80.5,64.7,63.9,4333130,132936,0.0453,0.44388314972985954,68.47999999999999,5.123642606858289,-0.06026647912001538,0,0,0,1
67,Ghana,GHA,MF,22,18,4,26,70.0,65.0,83.8,78.2,70.8,53.3,68.8,6451238,85078,0.0494,-0.7968303781921413,72.71,4.929817272025555,-0.2565523337696201,0,0,0,1
68,Ghana,GHA,MF,26,17,9,55,71.9,66.1,64.9,89.8,76.1,70.9,63.3,11213645,3494930,0.03,0.4867371732579425,72.74,6.543438481678788,1.4291474810362876,0,0,0,1
69,Ghana,GHA,MF,32,20,12,79,69.4,64.2,72.2,76.6,64.8,68.4,70.0,1923180,137387,0.0364,1.3982959817706668,69.80000000000001,5.1379456403263735,-0.09338742899045369,0,0,0,1
70,Ghana,GHA,MF,22,17,5,22,68.1,68.0,64.3,80.2,56.4,74.6,65.3,4551267,65055,0.0417,-0.7501015831897313,67.585,4.813280681204443,-0.42804585454720556,0,0,0,1
71,Ghana,GHA,MF,28,18,10,64,70.4,71.4,63.5,75.1,73.4,71.4,67.7,7856738,15201,0.0576,0.8120171211928922,70.19500000000001,4.181872159010333,-1.0643262279689125,0,0,0,1
72,Ghana,GHA,FW,23,18,5,35,68.5,74.9,81.9,70.5,66.4,59.4,57.9,13578367,14723,0.0297,-0.4715504302571918,70.82000000000001,4.16799631208688,-1.2052635093275976,0,1,0,0
73,Ghana,GHA,FW,28,19,9,56,71.0,81.3,71.4,71.7,74.1,56.9,70.5,7056489,5310935,0.0595,0.508164185021984,71.94500000000001,6.725170986165123,1.8440930184392499,0,1,0,0
74,Ghana,GHA,FW,23,17,6,34,72.9,70.8,74.8,71.0,82.2,67.0,71.6,13563297,498263,0.046,-0.3605405999626572,73.82000000000001,5.697458638540839,0.5895215516713297,0,1,0,0
75,Ghana,GHA,FW,23,19,4,16,70.8,77.9,82.5,75.4,73.2,57.9,57.6,7536354,45088,0.0403,-1.0111004958325562,73.58000000000001,4.654060971429263,-0.6135501073615903,0,1,0,0
76,Ghana,GHA,FW,25,16,9,46,70.9,65.1,87.6,77.7,73.1,55.2,66.8,7195473,256215,0.0182,0.2938940673815691,74.025,5.408604551741739,0.1025550434306713,0,1,0,0
77,Ghana,GHA,FW,24,22,2,9,71.6,83.2,75.7,72.7,81.7,54.5,62.0,5517172,1002780,0.0357,-1.4259632622979992,73.935,6.001205663562749,0.8649203659009355,0,1,0,0
78,Saudi Arabia,KSA,GK,29,17,12,59,54.7,62.8,35.0,54.7,45.5,58.8,71.4,3068587,45360,0.0433,0.969755746489837,51.230000000000004,4.65667304588485,-0.5955917093824324,0,0,1,0
79,Saudi Arabia,KSA,GK,28,19,9,62,51.8,54.6,35.9,50.8,48.1,56.9,64.6,1066058,5384,0.0563,0.636726255606233,49.095,3.7311050512159203,-1.582588928735253,0,0,1,0
80,Saudi Arabia,KSA,GK,28,19,9,56,56.3,55.9,46.8,56.7,44.6,66.4,67.2,2234881,17927,0.0346,0.508164185021984,53.705000000000005,4.253507618482686,-1.0880761871604827,0,0,1,0
81,Saudi Arabia,KSA,DF,24,20,4,25,61.3,70.0,51.2,67.0,45.9,64.0,69.6,4120546,16084,0.0326,-0.8182573899561829,59.24,4.2063940644308735,-1.149586135054628,1,0,0,0
82,Saudi Arabia,KSA,DF,30,16,14,82,58.3,47.6,47.7,70.8,47.8,66.0,70.1,1697638,14021,0.0442,1.7274507011799436,56.395,4.146778989307833,-1.1640669295178923,1,0,0,0
83,Saudi Arabia,KSA,DF,23,20,3,15,57.5,65.3,45.8,51.5,54.8,65.9,61.7,3026783,3162,0.0367,-1.164964349655174,55.265,3.49996186559619,-1.9191666170649002,1,0,0,0
84,Saudi Arabia,KSA,DF,26,21,5,25,60.7,60.8,52.5,62.4,55.1,71.9,61.3,4910088,56520,0.0379,-0.6858205478976067,59.065000000000005,4.752202153176521,-0.5159513976519725,1,0,0,0
85,Saudi Arabia,KSA,DF,22,19,3,13,60.2,64.5,47.4,62.7,51.1,69.9,65.8,2429760,914329,0.0245,-1.2078183731832568,57.855,5.961102494612303,0.7483722652891058,1,0,0,0
86,Saudi Arabia,KSA,DF,31,16,15,80,59.3,62.6,45.0,48.7,66.3,66.5,66.7,1573161,99901,0.0421,1.8170335197104366,56.96,4.999569835496335,-0.21705538625216717,1,0,0,0
87,Saudi Arabia,KSA,DF,25,21,4,19,59.2,57.0,42.9,57.4,56.1,73.3,68.4,3452192,649351,0.0491,-0.9468194605404318,56.145,5.812479513682494,0.7383883907594297,1,0,0,0
88,Saudi Arabia,KSA,DF,28,23,5,18,61.2,53.9,46.3,66.7,53.8,66.4,80.1,3466945,40285,0.0305,-0.8358096302458972,58.41,4.605143367980068,-0.7168830708224143,1,0,0,0
89,Saudi Arabia,KSA,DF,22,21,1,7,59.4,58.5,43.7,52.2,55.7,77.7,68.6,1169568,40821,0.0394,-1.6012541278846582,55.910000000000004,4.6108836395070085,-0.6663546146246665,1,0,0,0
90,Saudi Arabia,KSA,MF,23,20,3,22,65.4,69.7,62.0,73.6,64.0,65.5,57.2,9570244,281076,0.0326,-1.0149752673068835,65.74499999999999,5.448823764452884,0.23106481747529456,0,0,0,1
91,Saudi Arabia,KSA,MF,22,19,3,20,63.3,67.8,71.5,63.1,70.2,52.7,54.5,5195830,44590,0.0346,-1.0578292908349665,65.42500000000001,4.649237472349607,-0.6474693416089964,0,0,0,1
92,Saudi Arabia,KSA,MF,29,20,9,56,65.1,66.7,62.4,74.8,59.0,62.9,65.1,6704069,72637,0.0478,0.508164185021984,65.16499999999999,4.861157898971857,-0.3424617234309178,0,0,0,1
93,Saudi Arabia,KSA,MF,19,18,1,12,62.3,57.7,58.9,75.7,67.0,62.2,52.4,2415211,3162,0.0556,-1.4941190690644506,63.379999999999995,3.49996186559619,-1.8479788995838176,0,0,0,1
94,Saudi Arabia,KSA,MF,26,20,6,32,65.8,61.7,63.0,78.7,62.5,63.0,65.9,9870575,20778,0.0405,-0.4033946234907402,66.135,4.317603741933104,-0.9892972172239801,0,0,0,1
95,Saudi Arabia,KSA,MF,30,17,13,77,62.9,66.3,62.6,75.1,62.5,60.4,50.6,3818602,3587,0.0416,1.4878788003011598,64.21499999999999,3.5547313766759667,-1.839317410560777,0,0,0,1
96,Saudi Arabia,KSA,MF,27,18,9,69,62.7,54.8,54.9,65.8,74.0,61.9,65.0,2484267,35162,0.0463,0.7867153379545234,62.595,4.546073569594591,-0.7050920016148733,0,0,0,1
97,Saudi Arabia,KSA,MF,24,19,5,36,66.4,65.7,64.0,68.1,76.3,66.6,57.8,12244276,26418,0.0445,-0.4501234184931503,67.175,4.421899935843169,-0.8534764711197068,0,0,0,1
98,Saudi Arabia,KSA,FW,23,16,7,45,60.4,61.8,66.3,58.8,71.9,53.2,50.3,2075130,325244,0.0424,0.007593371500375375,62.335,5.5122092935782,0.3596362385609321,0,1,0,0
99,Saudi Arabia,KSA,FW,29,20,9,54,63.8,63.0,64.8,58.3,75.7,54.4,66.3,5341072,24098,0.0443,0.46531016149390103,64.52,4.3819810000434645,-0.8992907859613398,0,1,0,0
100,Saudi Arabia,KSA,FW,23,21,2,7,59.8,70.2,55.9,63.0,56.1,54.1,59.6,2995293,3162,0.049,-1.468817285826082,59.695,3.49996186559619,-1.8728381025137197,0,1,0,0
101,Saudi Arabia,KSA,FW,23,20,3,18,60.7,68.3,72.1,51.2,55.5,48.5,68.5,3230507,19127,0.0424,-1.1006833143630494,61.31,4.281646857867514,-1.0208052645535215,0,1,0,0
102,Saudi Arabia,KSA,FW,21,19,2,12,60.7,56.2,74.9,57.0,63.9,53.0,59.2,3394855,111457,0.0325,-1.3616822270058746,62.55500000000001,5.047107349316091,-0.21588600887553017,0,1,0,0
103,Saudi Arabia,KSA,FW,32,21,11,68,60.7,59.9,71.0,60.6,76.1,38.1,58.3,3713948,40380,0.0495,1.030162010307634,63.715,4.606166314607621,-0.6215654919615534,0,1,0,0
104,Canada,CAN,GK,27,18,9,55,60.9,54.1,45.7,54.4,64.6,81.4,65.4,5669409,127000,0.064,0.4867371732579425,58.02,5.103803720955957,0.02012705974828185,0,0,1,0
105,Canada,CAN,GK,35,17,18,115,61.8,62.9,43.5,62.5,54.7,80.4,67.0,2031855,27593,0.0289,2.9642894576276175,58.49,4.440798920943712,-0.9067860234037418,0,0,1,0
106,Canada,CAN,GK,21,20,1,4,61.6,54.7,41.3,78.6,47.9,75.1,71.7,5191708,3162,0.0543,-1.6655351631767825,58.51,3.49996186559619,-1.8528754092518287,0,0,1,0
107,Canada,CAN,DF,22,16,6,36,64.4,70.6,56.7,58.1,51.1,83.4,66.3,3869089,734633,0.0387,-0.3176865764345742,61.57500000000001,5.866070433124446,0.7332390371132874,1,0,0,0
108,Canada,CAN,DF,25,19,6,40,65.6,62.6,56.0,65.9,59.0,71.2,79.1,7602946,39110,0.0492,-0.23197852937840824,63.400000000000006,4.5922878159521305,-0.6387230172299481,1,0,0,0
109,Canada,CAN,DF,25,20,5,32,72.3,73.7,66.6,69.6,72.1,75.1,76.5,17138600,16237243,0.0317,-0.5358314655493163,71.205,7.210512290204863,2.181758788100818,1,0,0,0
110,Canada,CAN,DF,26,22,4,24,66.0,62.1,57.2,66.8,56.3,74.1,79.3,5664917,4689,0.0476,-0.8396844017202243,63.574999999999996,3.6710802327388494,-1.685193569780226,1,0,0,0
111,Canada,CAN,DF,25,20,5,34,67.3,64.3,54.1,59.4,61.7,82.1,82.3,7659204,70910,0.0285,-0.4929774420212333,63.83000000000001,4.850707485374537,-0.45499507048128296,1,0,0,0
112,Canada,CAN,DF,29,23,6,32,71.3,75.7,50.7,70.5,68.1,82.5,80.4,10783198,76335,0.0352,-0.4033946234907402,68.04,4.8827237099289755,-0.3843522634633142,1,0,0,0
113,Canada,CAN,DF,30,20,10,59,65.8,61.2,53.2,58.7,60.7,87.2,73.8,3493001,143177,0.0432,0.7048820623726847,62.46,5.155873258367502,-0.0356616630055811,1,0,0,0
114,Canada,CAN,DF,30,21,9,64,67.8,69.4,53.1,67.6,58.5,79.5,78.7,5014254,29296,0.0287,0.679580279134316,64.72500000000001,4.466808326957621,-0.8789480228680692,1,0,0,0
115,Canada,CAN,DF,26,22,4,22,65.6,70.4,54.7,68.0,52.3,70.7,77.4,7888168,703586,0.0522,-0.8825384252483073,63.105000000000004,5.8473171892515445,0.7972277398121036,1,0,0,0
116,Canada,CAN,MF,23,20,3,24,69.6,67.3,74.7,75.1,66.6,59.8,74.3,4711755,748751,0.0163,-0.9721212437788005,70.52000000000001,5.874337415423,0.6008723006427402,0,0,0,1
117,Canada,CAN,MF,30,19,11,59,70.3,79.2,58.1,76.5,69.4,71.3,67.2,7229461,550258,0.0353,0.8373189044312608,69.435,5.740566365320068,0.5719440980041771,0,0,0,1
118,Canada,CAN,MF,29,18,11,60,66.6,66.3,65.4,75.0,68.1,62.4,62.2,3517245,150954,0.0371,0.8587459161953024,67.375,5.178844625506923,-0.04386983295238218,0,0,0,1
119,Canada,CAN,MF,20,24,1,7,73.8,82.1,78.0,74.1,68.7,80.1,59.7,17714512,1564389,0.0446,-1.6012541278846582,74.355,6.194344753549528,1.1395194303768277,0,0,0,1
120,Canada,CAN,MF,26,20,6,33,66.9,67.3,68.7,68.6,66.7,64.3,66.1,5816020,36837,0.0252,-0.3819676117266987,67.37,4.566284254084595,-0.7860221353792536,0,0,0,1
121,Canada,CAN,MF,25,20,5,26,73.5,72.9,65.1,68.5,73.9,91.1,69.6,9101267,47304,0.0274,-0.6643935361335653,71.76,4.674897865991049,-0.6551219930999502,0,0,0,1
122,Canada,CAN,MF,25,20,5,30,67.8,72.5,69.0,72.1,60.4,55.1,77.7,5943537,37631,0.0391,-0.5786854890773994,67.905,4.575545759343288,-0.7073596777915114,0,0,0,1
123,Canada,CAN,MF,28,20,8,59,68.8,67.3,71.6,80.7,65.5,64.0,63.6,9018798,328012,0.045,0.4400083782555324,69.995,5.515889732243545,0.37919860247721704,0,0,0,1
124,Canada,CAN,FW,28,19,9,57,68.9,74.5,67.7,69.6,68.5,66.2,67.1,5398661,469798,0.0553,0.5295911967860256,69.05,5.671911163589282,0.6175300159214718,0,1,0,0
125,Canada,CAN,FW,25,16,9,58,68.8,62.8,79.4,65.3,68.3,65.0,72.0,6672576,652557,0.0435,0.551018208550067,69.69000000000001,5.814618452721871,0.705761243585023,0,1,0,0
126,Canada,CAN,FW,24,17,7,47,68.9,74.8,72.7,74.5,63.3,61.5,66.8,8683222,203990,0.05,0.050447395028458374,69.785,5.309608877958903,0.17578628285116094,0,1,0,0
127,Canada,CAN,FW,25,17,8,40,68.2,69.1,86.8,62.9,76.2,46.3,67.7,8734162,45915,0.0481,0.032895154738744006,71.285,4.661954588653016,-0.565579958348202,0,1,0,0
128,Canada,CAN,FW,29,20,9,52,71.1,78.1,77.5,72.5,75.4,55.0,67.8,9380721,112614,0.0483,0.42245613796581805,72.95,5.051592384696457,-0.1250079960199733,0,1,0,0
129,Canada,CAN,FW,25,19,6,37,67.7,77.5,77.1,60.1,74.8,54.5,62.1,7386736,219474,0.0464,-0.2962595646705327,69.54,5.3413830789046255,0.19099676379502928,0,1,0,0
130,Croatia,CRO,GK,23,17,6,49,68.9,62.8,47.6,73.0,67.1,82.4,80.5,7948349,124593,0.0289,-0.039135423502034763,65.63000000000001,5.095493643071373,-0.18186289054364818,0,0,1,0
131,Croatia,CRO,GK,26,18,8,50,67.0,62.3,48.1,70.6,62.8,85.6,72.4,11762392,8621,0.0381,0.24716527237915895,63.85,3.935557645093014,-1.4272590527528,0,0,1,0
132,Croatia,CRO,GK,22,17,5,37,68.2,70.9,52.9,60.2,63.5,90.1,71.4,8484385,496989,0.0326,-0.4286964067291088,64.75,5.696346776475448,0.5061249535264327,0,0,1,0
