team,fifa_code,group,name,position,age,caps,overall,pace,shooting,passing,dribbling,defending,physical,rating_source
Mexico,MEX,A,Érik Lira,MF,,25,69.0,75.0,57.0,66.0,66.0,60.0,61.0,fifa-match
Mexico,MEX,A,Luis Romo,MF,,63,77.0,72.0,61.0,65.0,65.0,75.0,85.0,fifa-match
Mexico,MEX,A,Álvaro Fidalgo,MF,,4,72.0,79.0,65.0,70.0,74.0,50.0,64.0,fifa-match
Mexico,MEX,A,Raúl Jiménez,FW,,124,83.0,72.0,82.0,76.0,81.0,47.0,82.0,fifa-match
Mexico,MEX,A,Alexis Vega,FW,,52,74.0,86.0,70.0,69.0,76.0,50.0,73.0,fifa-match
Mexico,MEX,A,Santiago Giménez,FW,,47,84.0,69.0,45.0,57.0,59.0,86.0,80.0,fifa-match
Mexico,MEX,A,Carlos Acevedo,GK,,7,76.0,73.0,68.0,67.0,73.0,53.0,69.0,fifa-match
Mexico,MEX,A,Guillermo Ochoa,GK,,152,80.0,73.0,68.0,67.0,73.0,53.0,69.0,fifa-match
Mexico,MEX,A,Armando González,FW,,7,77.0,87.0,71.0,64.0,82.0,45.0,60.0,fifa-match
Mexico,MEX,A,Israel Reyes,DF,,34,70.0,73.0,48.0,65.0,68.0,66.0,60.0,fifa-match
Mexico,MEX,A,Julián Quiñones,FW,,22,76.0,92.0,68.0,69.0,78.0,35.0,64.0,fifa-match
Mexico,MEX,A,Orbelín Pineda,MF,,92,77.0,86.0,73.0,72.0,79.0,62.0,66.0,fifa-match
Mexico,MEX,A,Obed Vargas,MF,,6,77.0,73.0,68.0,67.0,73.0,53.0,69.0,fifa-match
Mexico,MEX,A,Gilberto Mora,MF,,8,73.0,78.0,73.0,55.0,71.0,27.0,67.0,fifa-match
Mexico,MEX,A,Mateo Chávez,DF,,10,69.0,73.0,66.0,67.0,72.0,44.0,60.0,fifa-match
Mexico,MEX,A,César Huerta,FW,,26,70.0,43.0,24.0,41.0,41.0,71.0,79.0,fifa-match
Mexico,MEX,A,Guillermo Martínez,FW,,12,85.0,84.0,81.0,72.0,85.0,48.0,84.0,fifa-match
Mexico,MEX,A,Jesús Gallardo,DF,,121,75.0,82.0,67.0,71.0,74.0,69.0,73.0,fifa-match
Mexico,MEX,A,Luis Chávez,MF,,45,69.0,73.0,66.0,67.0,72.0,44.0,60.0,fifa-match
Mexico,MEX,A,Roberto Alvarado,FW,,67,76.0,76.0,71.0,75.0,77.0,53.0,70.0,fifa-match
Mexico,MEX,A,Brian Gutiérrez,MF,,7,73.0,71.0,70.0,73.0,73.0,63.0,64.0,fifa-match
South Africa,RSA,A,Ronwen Williams,GK,,62,81.0,94.0,78.0,72.0,78.0,37.0,81.0,fifa-match
South Africa,RSA,A,Thabang Matuludi,DF,,3,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Khulumani Ndamane,DF,,5,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Teboho Mokoena,MF,,51,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Thalente Mbatha,MF,,15,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Aubrey Modiba,DF,,44,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Oswin Appollis,FW,,26,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Tshepang Moremi,FW,,10,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Lyle Foster,FW,,27,78.0,73.0,59.0,68.0,70.0,62.0,75.0,fifa-match
South Africa,RSA,A,Relebohile Mofokeng,FW,,13,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Themba Zwane,MF,,54,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Thapelo Maseko,FW,,10,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Sphephelo Sithole,MF,,28,70.0,65.0,60.0,64.0,67.0,67.0,75.0,fifa-match
South Africa,RSA,A,Mbekezeli Mbokazi,DF,,10,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Iqraam Rayners,FW,,14,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Sipho Chaine,GK,,4,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Evidence Makgopa,FW,,26,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Samukele Kabini,DF,,6,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Nkosinathi Sibisi,DF,,20,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Khuliso Mudau,DF,,32,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Ime Okon,DF,,8,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Ricardo Goss,GK,,5,65.0,65.0,58.0,66.0,65.0,58.0,70.0,fifa-match
South Africa,RSA,A,Jayden Adams,MF,,5,77.0,81.0,48.0,70.0,73.0,74.0,75.0,fifa-match
South Africa,RSA,A,Olwethu Makhanya,DF,,1,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Kamogelo Sebelebele,FW,,3,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Africa,RSA,A,Bradley Cross,DF,,1,77.0,73.0,59.0,68.0,70.0,62.0,75.0,team-median
South Korea,KOR,A,Kim Seung-gyu,GK,,87,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Lee Han-beom,DF,,8,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Lee Gi-hyuk,MF,,3,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Kim Min-jae,DF,,79,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Kim Tae-hyeon,DF,,7,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Hwang In-beom,MF,,73,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Son Heung-min,FW,,144,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Paik Seung-ho,MF,,27,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Cho Gue-sung,FW,,44,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Lee Jae-sung,MF,,105,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Hwang Hee-chan,MF,,79,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Song Bum-keun,GK,,3,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Lee Tae-seok,DF,,15,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Cho Wi-je,DF,,1,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Kim Moon-hwan,DF,,35,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Park Jin-seob,DF,,14,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Bae Jun-ho,MF,,13,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Oh Hyeon-gyu,FW,,27,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Lee Kang-in,MF,,47,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Yang Hyun-jun,MF,,9,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Jo Hyeon-woo,GK,,48,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Seol Young-woo,DF,,34,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Jens Castrop,DF,,7,57.0,66.0,38.0,58.0,63.0,40.0,49.0,fifa-match
South Korea,KOR,A,Kim Jin-gyu,MF,,22,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Eom Ji-sung,MF,,9,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
South Korea,KOR,A,Lee Dong-gyeong,MF,,18,57.0,66.0,38.0,58.0,63.0,40.0,49.0,team-median
Bosnia-Herzegovina,BIH,B,Nikola Vasilj,GK,,26,67.0,68.0,60.0,67.0,71.0,68.0,72.0,fifa-match
Bosnia-Herzegovina,BIH,B,Nihad Mujakić,DF,,12,74.0,68.0,60.0,67.0,71.0,68.0,72.0,team-median
Bosnia-Herzegovina,BIH,B,Dennis Hadžikadunić,DF,,32,74.0,68.0,60.0,67.0,71.0,68.0,72.0,team-median
Bosnia-Herzegovina,BIH,B,Tarik Muharemović,DF,,14,74.0,68.0,60.0,67.0,71.0,68.0,72.0,team-median
Bosnia-Herzegovina,BIH,B,Sead Kolašinac,DF,,65,75.0,75.0,62.0,68.0,71.0,71.0,86.0,fifa-match
Bosnia-Herzegovina,BIH,B,Benjamin Tahirović,MF,,28,74.0,68.0,60.0,67.0,71.0,68.0,72.0,team-median
Bosnia-Herzegovina,BIH,B,Amar Dedić,DF,,28,66.0,80.0,57.0,64.0,67.0,59.0,62.0,fifa-match
Bosnia-Herzegovina,BIH,B,Armin Gigović,MF,,20,74.0,68.0,60.0,67.0,71.0,68.0,72.0,team-median
Bosnia-Herzegovina,BIH,B,Samed Baždar,FW,,13,74.0,68.0,60.0,67.0,71.0,68.0,72.0,team-median
Bosnia-Herzegovina,BIH,B,Ermedin Demirović,FW,,40,74.0,68.0,74.0,61.0,71.0,37.0,73.0,fifa-match
Bosnia-Herzegovina,BIH,B,Edin Džeko,FW,,148,83.0,66.0,83.0,72.0,78.0,45.0,76.0,fifa-match
Bosnia-Herzegovina,BIH,B,Mladen Jurkas,GK,,0,74.0,68.0,60.0,67.0,71.0,68.0,72.0,team-median
Bosnia-Herzegovina,BIH,B,Ivan Bašić,MF,,17,74.0,54.0,64.0,75.0,73.0,69.0,76.0,fifa-match
Bosnia-Herzegovina,BIH,B,Ivan Šunjić,MF,,11,74.0,55.0,34.0,51.0,35.0,74.0,82.0,fifa-match
Bosnia-Herzegovina,BIH,B,Amar Memić,MF,,13,74.0,68.0,60.0,67.0,71.0,68.0,72.0,team-median
Bosnia-Herzegovina,BIH,B,Amir Hadžiahmetović,MF,,36,71.0,69.0,58.0,68.0,71.0,67.0,71.0,fifa-match
Bosnia-Herzegovina,BIH,B,Dženis Burnić,MF,,20,68.0,73.0,48.0,66.0,70.0,64.0,67.0,fifa-match
Bosnia-Herzegovina,BIH,B,Nikola Katić,DF,,17,70.0,67.0,35.0,45.0,56.0,68.0,70.0,fifa-match
Bosnia-Herzegovina,BIH,B,Kerim Alajbegović,FW,,10,74.0,68.0,60.0,67.0,71.0,68.0,72.0,team-median
Bosnia-Herzegovina,BIH,B,Esmir Bajraktarević,FW,,16,74.0,68.0,60.0,67.0,71.0,68.0,72.0,team-median
Bosnia-Herzegovina,BIH,B,Stjepan Radeljić,DF,,5,74.0,68.0,60.0,67.0,71.0,68.0,72.0,team-median
Bosnia-Herzegovina,BIH,B,Martin Zlomislić,GK,,3,74.0,68.0,60.0,67.0,71.0,68.0,72.0,team-median
Bosnia-Herzegovina,BIH,B,Haris Tabaković,FW,,10,74.0,68.0,60.0,67.0,71.0,68.0,72.0,team-median
Bosnia-Herzegovina,BIH,B,Arjan Malić,DF,,8,74.0,68.0,60.0,67.0,71.0,68.0,72.0,team-median
Bosnia-Herzegovina,BIH,B,Jovo Lukić,FW,,3,75.0,64.0,63.0,75.0,77.0,69.0,68.0,fifa-match
Bosnia-Herzegovina,BIH,B,Ermin Mahmić,MF,,2,74.0,68.0,60.0,67.0,71.0,68.0,72.0,team-median
Canada,CAN,B,Dayne St. Clair,GK,,20,68.0,80.0,61.0,59.0,70.0,55.0,70.0,fifa-match
Canada,CAN,B,Alistair Johnston,DF,,58,69.0,86.0,65.0,63.0,72.0,29.0,48.0,fifa-match
Canada,CAN,B,Alfie Jones,DF,,2,74.0,51.0,50.0,60.0,56.0,75.0,67.0,fifa-match
Canada,CAN,B,Luc de Fougerolles,DF,,13,72.0,80.0,61.0,59.0,70.0,55.0,70.0,team-median
Canada,CAN,B,Joel Waterman,DF,,17,62.0,43.0,25.0,50.0,45.0,61.0,69.0,fifa-match
Canada,CAN,B,Mathieu Choinière,MF,,23,62.0,66.0,52.0,59.0,66.0,55.0,39.0,fifa-match
Canada,CAN,B,Stephen Eustáquio,MF,,56,76.0,66.0,61.0,75.0,72.0,72.0,72.0,fifa-match
Canada,CAN,B,Ismaël Koné,MF,,40,72.0,91.0,68.0,57.0,74.0,32.0,65.0,fifa-match
Canada,CAN,B,Cyle Larin,FW,,90,75.0,71.0,74.0,59.0,70.0,26.0,80.0,fifa-match
Canada,CAN,B,Jonathan David,FW,,77,78.0,85.0,76.0,71.0,78.0,25.0,70.0,fifa-match
Canada,CAN,B,Liam Millar,MF,,41,67.0,83.0,52.0,58.0,67.0,59.0,77.0,fifa-match
Canada,CAN,B,Tani Oluwaseyi,FW,,24,72.0,80.0,61.0,59.0,70.0,55.0,70.0,team-median
Canada,CAN,B,Derek Cornelius,DF,,44,73.0,64.0,73.0,57.0,65.0,35.0,80.0,fifa-match
Canada,CAN,B,Jacob Shaffelburg,MF,,31,61.0,80.0,53.0,56.0,60.0,47.0,54.0,fifa-match
Canada,CAN,B,Moïse Bombito,DF,,20,72.0,80.0,61.0,59.0,70.0,55.0,70.0,team-median
Canada,CAN,B,Maxime Crépeau,GK,,32,73.0,80.0,61.0,59.0,70.0,55.0,70.0,fifa-match
Canada,CAN,B,Tajon Buchanan,FW,,60,68.0,86.0,61.0,57.0,71.0,54.0,64.0,fifa-match
Canada,CAN,B,Owen Goodman,GK,,0,72.0,80.0,61.0,59.0,70.0,55.0,70.0,team-median
Canada,CAN,B,Alphonso Davies,DF,,58,82.0,96.0,67.0,71.0,82.0,75.0,75.0,fifa-match
Canada,CAN,B,Ali Ahmed,FW,,24,62.0,73.0,49.0,57.0,62.0,57.0,62.0,fifa-match
Canada,CAN,B,Jonathan Osorio,MF,,90,74.0,55.0,31.0,44.0,52.0,73.0,81.0,fifa-match
Canada,CAN,B,Richie Laryea,DF,,75,71.0,81.0,60.0,64.0,71.0,63.0,71.0,fifa-match
Canada,CAN,B,Niko Sigur,DF,,19,72.0,80.0,61.0,59.0,70.0,55.0,70.0,team-median
Canada,CAN,B,Promise David,FW,,10,78.0,85.0,76.0,71.0,78.0,25.0,70.0,fifa-match
Canada,CAN,B,Nathan Saliba,MF,,15,75.0,70.0,33.0,62.0,66.0,76.0,77.0,fifa-match
Canada,CAN,B,Jayden Nelson,FW,,14,72.0,85.0,65.0,66.0,76.0,34.0,53.0,fifa-match
Qatar,QAT,B,Mahmud Abunada,GK,,6,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Pedro Miguel,DF,,105,71.0,68.0,49.0,64.0,69.0,71.0,72.0,fifa-match
Qatar,QAT,B,Lucas Mendes,DF,,25,78.0,85.0,57.0,68.0,74.0,74.0,72.0,fifa-match
Qatar,QAT,B,Issa Laye,DF,,4,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Jassem Gaber,DF,,32,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Abdulaziz Hatem,MF,,119,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Ahmed Alaaeldin,FW,,68,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Edmilson Junior,FW,,16,72.0,68.0,45.0,62.0,67.0,73.0,78.0,fifa-match
Qatar,QAT,B,Mohammed Muntari,FW,,67,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Hassan Al-Haydos,FW,,186,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Akram Afif,FW,,125,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Karim Boudiaf,MF,,118,50.0,61.0,26.0,33.0,46.0,46.0,55.0,fifa-match
Qatar,QAT,B,Ayoub Al-Oui,DF,,6,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Homam Ahmed,DF,,68,62.0,73.0,49.0,57.0,62.0,57.0,62.0,fifa-match
Qatar,QAT,B,Yusuf Abdurisag,FW,,39,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Boualem Khoukhi,DF,,116,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Ahmed Al-Ganehi,MF,,13,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Sultan Al-Brake,DF,,17,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Almoez Ali,FW,,115,64.0,63.0,52.0,60.0,64.0,57.0,65.0,fifa-match
Qatar,QAT,B,Ahmed Fathy,MF,,48,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Salah Zakaria,GK,,8,80.0,83.0,64.0,72.0,75.0,80.0,84.0,fifa-match
Qatar,QAT,B,Meshaal Barsham,GK,,52,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Assim Madibo,MF,,51,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Tahsin Jamshid,FW,,3,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Al-Hashmi Al-Hussain,DF,,8,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Qatar,QAT,B,Mohamed Manai,FW,,10,71.0,68.0,49.0,62.0,67.0,71.0,72.0,team-median
Switzerland,SUI,B,Gregor Kobel,GK,,21,79.0,74.0,64.0,66.0,72.0,64.0,74.0,fifa-match
Switzerland,SUI,B,Miro Muheim,DF,,10,69.0,73.0,55.0,65.0,65.0,65.0,67.0,fifa-match
Switzerland,SUI,B,Silvan Widmer,DF,,60,75.0,78.0,61.0,69.0,73.0,71.0,78.0,fifa-match
Switzerland,SUI,B,Nico Elvedi,DF,,67,79.0,74.0,39.0,63.0,68.0,80.0,77.0,fifa-match
Switzerland,SUI,B,Manuel Akanji,DF,,81,80.0,81.0,48.0,67.0,74.0,81.0,77.0,fifa-match
Switzerland,SUI,B,Denis Zakaria,MF,,65,80.0,83.0,64.0,72.0,75.0,80.0,84.0,fifa-match
Switzerland,SUI,B,Breel Embolo,FW,,86,77.0,85.0,73.0,70.0,74.0,51.0,82.0,fifa-match
Switzerland,SUI,B,Remo Freuler,MF,,88,80.0,69.0,71.0,77.0,78.0,75.0,73.0,fifa-match
Switzerland,SUI,B,Johan Manzambi,MF,,12,75.0,74.0,64.0,66.0,72.0,64.0,74.0,team-median
Switzerland,SUI,B,Granit Xhaka,MF,,146,79.0,50.0,64.0,79.0,69.0,69.0,80.0,fifa-match
Switzerland,SUI,B,Dan Ndoye,FW,,31,69.0,78.0,64.0,63.0,71.0,34.0,60.0,fifa-match
Switzerland,SUI,B,Yvon Mvogo,GK,,13,76.0,74.0,64.0,66.0,72.0,64.0,74.0,fifa-match
Switzerland,SUI,B,Ricardo Rodriguez,DF,,138,74.0,67.0,76.0,67.0,73.0,42.0,66.0,fifa-match
Switzerland,SUI,B,Ardon Jashari,MF,,8,53.0,54.0,47.0,54.0,61.0,40.0,53.0,fifa-match
Switzerland,SUI,B,Djibril Sow,MF,,52,77.0,79.0,64.0,77.0,76.0,75.0,79.0,fifa-match
Switzerland,SUI,B,Christian Fassnacht,FW,,23,75.0,82.0,70.0,69.0,74.0,37.0,71.0,fifa-match
Switzerland,SUI,B,Rubén Vargas,FW,,61,77.0,74.0,64.0,66.0,72.0,64.0,74.0,fifa-match
Switzerland,SUI,B,Eray Cömert,DF,,22,71.0,78.0,44.0,54.0,56.0,70.0,76.0,fifa-match
Switzerland,SUI,B,Noah Okafor,FW,,25,71.0,84.0,67.0,63.0,73.0,32.0,74.0,fifa-match
Switzerland,SUI,B,Michel Aebischer,MF,,40,75.0,72.0,65.0,75.0,75.0,65.0,75.0,fifa-match
Switzerland,SUI,B,Marvin Keller,GK,,1,65.0,65.0,34.0,48.0,48.0,64.0,72.0,fifa-match
Switzerland,SUI,B,Fabian Rieder,MF,,28,67.0,73.0,52.0,65.0,68.0,57.0,66.0,fifa-match
Switzerland,SUI,B,Zeki Amdouni,FW,,29,64.0,69.0,66.0,61.0,64.0,46.0,67.0,fifa-match
Switzerland,SUI,B,Aurèle Amenda,DF,,7,75.0,74.0,64.0,66.0,72.0,64.0,74.0,team-median
Switzerland,SUI,B,Luca Jaquez,DF,,3,75.0,74.0,64.0,66.0,72.0,64.0,74.0,team-median
Switzerland,SUI,B,Cedric Itten,FW,,15,71.0,68.0,72.0,60.0,66.0,36.0,74.0,fifa-match
Brazil,BRA,C,Alisson Becker,GK,,78,70.0,90.0,67.0,62.0,71.0,31.0,67.0,fifa-match
Brazil,BRA,C,Éderson,MF,,3,80.0,74.0,67.0,74.0,77.0,73.0,74.0,team-median
Brazil,BRA,C,Gabriel Magalhães,DF,,17,68.0,74.0,43.0,58.0,62.0,65.0,74.0,fifa-match
Brazil,BRA,C,Marquinhos,DF,,105,87.0,81.0,53.0,75.0,74.0,89.0,81.0,fifa-match
Brazil,BRA,C,Casemiro,MF,,86,89.0,65.0,73.0,76.0,73.0,86.0,90.0,fifa-match
Brazil,BRA,C,Alex Sandro,DF,,45,83.0,81.0,65.0,77.0,79.0,78.0,79.0,fifa-match
Brazil,BRA,C,Vinícius Júnior,FW,,49,75.0,80.0,74.0,65.0,77.0,44.0,64.0,fifa-match
Brazil,BRA,C,Bruno Guimarães,MF,,43,79.0,68.0,63.0,78.0,78.0,73.0,75.0,fifa-match
Brazil,BRA,C,Matheus Cunha,FW,,23,79.0,85.0,78.0,74.0,84.0,31.0,69.0,fifa-match
Brazil,BRA,C,Neymar,FW,,128,80.0,74.0,67.0,74.0,77.0,73.0,74.0,team-median
Brazil,BRA,C,Raphinha,FW,,39,82.0,91.0,76.0,76.0,84.0,49.0,72.0,fifa-match
Brazil,BRA,C,Weverton,GK,,11,80.0,74.0,67.0,74.0,77.0,73.0,74.0,team-median
Brazil,BRA,C,Danilo,DF,,70,81.0,73.0,67.0,73.0,74.0,82.0,79.0,fifa-match
Brazil,BRA,C,Gleison Bremer,DF,,8,76.0,64.0,35.0,51.0,62.0,77.0,74.0,fifa-match
Brazil,BRA,C,Léo Pereira,DF,,4,84.0,83.0,67.0,78.0,82.0,80.0,75.0,fifa-match
Brazil,BRA,C,Douglas Santos,DF,,7,79.0,83.0,79.0,65.0,81.0,28.0,64.0,fifa-match
Brazil,BRA,C,Fabinho,MF,,33,86.0,67.0,69.0,78.0,78.0,85.0,83.0,fifa-match
Brazil,BRA,C,Danilo,MF,,4,81.0,73.0,67.0,73.0,74.0,82.0,79.0,fifa-match
Brazil,BRA,C,Endrick,FW,,17,80.0,74.0,67.0,74.0,77.0,73.0,74.0,team-median
Brazil,BRA,C,Lucas Paquetá,MF,,63,81.0,74.0,75.0,79.0,83.0,69.0,78.0,fifa-match
Brazil,BRA,C,Luiz Henrique,FW,,15,77.0,72.0,54.0,74.0,75.0,73.0,59.0,fifa-match
Brazil,BRA,C,Gabriel Martinelli,FW,,23,76.0,87.0,69.0,67.0,78.0,44.0,67.0,fifa-match
