team,fifa_code,group,flag,played,wins,draws,losses,goals_for,goals_against,goal_diff,points,attack,defence,net_strength,model_rank,elo,elo_rank,squad_overall,avg_age,total_caps,attack_strength,defence_strength,young_pace,senior_solidity,form_momentum,tier,style,star_player
Uruguay,URU,H,https://flagcdn.com/w80/uy.png,3,0,2,1,3,4,-1,2,-0.0260327120944307,0.1952820003086436,0.1692492882142129,20,1505.0,22,78.7,,933.0,69.9,68.9,76.8,,-0.026,Solid outfit,well-balanced,Emiliano Martínez
Ecuador,ECU,E,https://flagcdn.com/w80/ec.png,4,1,1,2,2,4,-2,4,-0.409401977361785,0.5644279871327413,0.1550260097709563,21,1548.8,16,76.1,,771.0,67.5,59.6,75.6,,0.01,Solid outfit,attack-leaning,Félix Torres
Algeria,ALG,J,https://flagcdn.com/w80/dz.png,4,1,1,2,5,9,-4,4,0.1027404035320176,0.0426588438615034,0.1453992473935211,22,1498.2,24,74.9,,778.0,70.1,60.6,74.9,,-0.008,Developing team,attack-leaning,Riyad Mahrez
Egypt,EGY,G,https://flagcdn.com/w80/eg.png,5,1,3,1,8,7,1,6,0.0945977853597051,0.0290925604507034,0.1236903458104085,23,1513.4,21,72.2,,821.0,71.7,49.6,78.5,,0.028,Developing team,attack-leaning,Mohamed Salah
Australia,AUS,D,https://flagcdn.com/w80/au.png,4,1,2,1,3,3,0,5,-0.1199200685492485,0.1882916329418123,0.0683715643925638,24,1522.1,20,71.0,,734.0,62.3,63.2,73.4,,0.033,Developing team,well-balanced,Mohamed Touré
Congo DR,COD,K,https://flagcdn.com/w80/cd.png,4,1,1,2,5,5,0,4,-0.0982127591134076,0.1224150868381316,0.024202327724724,25,1447.7,32,75.6,,796.0,69.6,71.9,76.8,,0.004,Developing team,defensively grounded,Aaron Wan-Bissaka
Paraguay,PAR,D,https://flagcdn.com/w80/py.png,5,1,2,2,3,6,-3,5,-0.1850524820657684,0.1774748044719999,-0.0075776775937684,26,1488.5,25,76.8,,690.0,67.0,66.5,73.1,,-0.037,Solid outfit,well-balanced,Diego Gómez
Canada,CAN,B,https://flagcdn.com/w80/ca.png,5,2,1,2,9,6,3,7,-0.2219286715664208,0.1691794297948597,-0.0527492417715611,27,1462.0,28,74.4,,953.0,67.5,55.9,76.9,,0.067,Developing team,attack-leaning,Alphonso Davies
United States,USA,D,https://flagcdn.com/w80/us.png,5,3,0,2,11,8,3,9,0.156825367543116,-0.2287868351719283,-0.0719614676288123,28,1464.5,27,74.6,26.4,962.0,67.4,56.9,75.0,15.3,0.021,Developing team,attack-leaning,Christian Pulisic
Sweden,SWE,F,https://flagcdn.com/w80/se.png,4,1,1,2,7,10,-3,4,0.2404084633861014,-0.3645344096900654,-0.1241259463039639,29,1389.9,35,73.8,,519.0,65.2,63.8,72.3,,-0.093,Developing team,well-balanced,Alexander Isak
Cape Verde,CPV,H,https://flagcdn.com/w80/cv.png,4,0,3,1,4,5,-1,3,-0.2052799882834406,0.0502327098397486,-0.1550472784436919,30,1443.2,33,79.3,,823.0,67.6,66.8,70.5,,-0.007,Strong side,well-balanced,João Paulo Fernandes
South Korea,KOR,A,https://flagcdn.com/w80/kr.png,3,1,0,2,2,3,-1,3,-0.0780178145434759,-0.1194981416519738,-0.1975159561954497,31,1500.8,23,57.0,,958.0,55.7,40.0,66.0,,-0.053,Developing team,attack-leaning,Jens Castrop
Türkiye,TUR,D,https://flagcdn.com/w80/tr.png,3,1,0,2,3,5,-2,3,0.0250156405320673,-0.2666680578268574,-0.24165241729479,32,1450.9,31,76.9,,970.0,63.4,69.9,71.4,,-0.063,Solid outfit,defensively grounded,Hakan Çalhanoğlu
Scotland,SCO,C,https://flagcdn.com/w80/gb-sct.png,3,1,0,2,1,4,-3,3,-0.2353776873091574,-0.0115355033909802,-0.2469131907001376,33,1432.6,34,74.5,,973.0,62.6,69.9,69.1,,-0.016,Developing team,defensively grounded,Andy Robertson
Iran,IRN,G,https://flagcdn.com/w80/ir.png,3,0,3,0,3,3,0,3,-0.3833190113845091,0.1258828129439601,-0.257436198440549,34,1458.6,29,69.2,,1170.0,69.9,43.0,73.1,,0.012,Developing team,attack-leaning,Mehdi Taremi
South Africa,RSA,A,https://flagcdn.com/w80/za.png,4,1,1,2,2,4,-2,4,-0.4127785068382213,0.0465838643831632,-0.3661946424550581,35,1452.5,30,77.3,,483.0,67.6,62.0,73.0,,-0.034,Solid outfit,attack-leaning,Lyle Foster
Tunisia,TUN,F,https://flagcdn.com/w80/tn.png,3,0,0,3,2,12,-10,0,-0.2952063963689283,-0.1995905674159574,-0.4947969637848857,36,1382.3,36,70.2,,582.0,61.4,64.3,66.4,,-0.171,Developing team,defensively grounded,Ellyes Skhiri
Ghana,GHA,L,https://flagcdn.com/w80/gh.png,4,1,1,2,2,3,-1,4,-0.4292043365324078,-0.1082518826433408,-0.5374562191757487,37,1377.7,38,71.4,,561.0,65.1,63.1,77.6,,-0.08,Developing team,well-balanced,Thomas Partey
Uzbekistan,UZB,K,https://flagcdn.com/w80/uz.png,3,0,0,3,2,11,-9,0,-0.2095695817654763,-0.3347704176686191,-0.5443399994340954,38,1371.3,41,66.3,,834.0,63.8,52.4,71.4,,-0.165,Developing team,attack-leaning,Eldor Shomurodov
Czechia,CZE,A,https://flagcdn.com/w80/cz.png,3,0,1,2,2,6,-4,1,-0.2689422935605247,-0.2760489271538654,-0.5449912207143901,39,1352.5,43,76.4,,723.0,70.4,72.7,70.3,,-0.107,Solid outfit,defensively grounded,Tomáš Souček
Jordan,JOR,J,https://flagcdn.com/w80/jo.png,3,0,0,3,3,8,-5,0,-0.1529038233283586,-0.3976929982541787,-0.5505968215825373,40,1365.4,42,61.3,,1063.0,67.5,26.3,81.4,,-0.109,Developing team,attack-leaning,Salim Obaid
Bosnia-Herzegovina,BIH,B,https://flagcdn.com/w80/ba.png,4,1,1,2,5,8,-3,4,-0.2136861387710971,-0.3530068533696635,-0.5666929921407607,41,1373.3,40,74.7,,597.0,65.4,67.2,66.2,,-0.042,Developing team,well-balanced,Edin Džeko
Haiti,HAI,C,https://flagcdn.com/w80/ht.png,3,0,0,3,2,8,-6,0,-0.2390980274925842,-0.3862789267222001,-0.6253769542147845,42,1338.5,44,70.1,,624.0,65.4,51.2,77.2,,-0.058,Developing team,attack-leaning,Derrick Etienne Jr.
Saudi Arabia,KSA,H,https://flagcdn.com/w80/sa.png,3,0,2,1,1,5,-4,2,-0.6718101561679274,0.0359422905222929,-0.6358678656456345,43,1376.0,39,63.0,,927.0,63.1,58.4,79.6,,-0.089,Developing team,attack-leaning,Mohamed Kanno
Panama,PAN,L,https://flagcdn.com/w80/pa.png,3,0,0,3,0,4,-4,0,-0.383925691184832,-0.2904749035484658,-0.6744005947332978,44,1331.4,45,77.6,,1541.0,67.4,67.9,70.7,,-0.092,Solid outfit,well-balanced,Jiovany Ramos
New Zealand,NZL,G,https://flagcdn.com/w80/nz.png,3,0,1,2,4,10,-6,1,-0.3768957351911941,-0.4003528556629054,-0.7772485908540996,45,1314.8,46,70.0,,825.0,62.6,56.8,69.4,,-0.172,Developing team,attack-leaning,Chris Wood
Curaçao,CUW,E,https://flagcdn.com/w80/cw.png,3,0,1,2,1,9,-8,1,-0.0824317412929963,-0.7385010779779448,-0.8209328192709412,46,1380.3,37,71.0,,618.0,67.1,65.0,73.9,,-0.18,Developing team,attack-leaning,Riechedly Bazoer
Iraq,IRQ,I,https://flagcdn.com/w80/iq.png,3,0,0,3,1,12,-11,0,-0.5915335673122876,-0.2944686191657125,-0.8860021864780001,47,1304.0,47,64.1,,827.0,61.3,54.1,68.9,,-0.18,Developing team,attack-leaning,Aymen Hussein
Qatar,QAT,B,https://flagcdn.com/w80/qa.png,3,0,1,2,2,10,-8,1,-0.3332581246273476,-0.677824059309845,-1.0110821839371926,48,1297.5,48,72.1,,1425.0,61.5,69.8,67.1,,-0.18,Developing team,defensively grounded,Lucas Mendes
